Carat,Cut,Crown Height (mm),Girdle Diameter (mm),Pavillion Depth (mm),Table %,Total Depth %,Clarity,Color,Price
0.29,Excellent,4.24,4.26,2.65,58.0,62.4,SI1,F,403
0.32,Very Good,4.35,4.42,2.71,55.0,61.8,SI2,H,403
0.32,Good,4.36,4.38,2.79,56.0,63.8,SI2,H,403
0.25,Very Good,4.0,4.03,2.54,60.0,63.3,VS2,E,404
0.29,Very Good,4.33,4.37,2.64,60.0,60.7,SI2,H,404
0.24,Very Good,4.02,4.03,2.45,61.0,60.9,SI1,F,404
0.23,Ideal,3.93,3.95,2.44,54.0,61.9,VS1,G,404
0.32,Ideal,4.45,4.48,2.72,55.0,60.9,SI1,I,404
0.22,Excellent,3.93,3.89,2.41,58.0,61.6,VS2,E,404
0.22,Excellent,3.91,3.88,2.31,62.0,59.3,VS2,D,404
0.3,Ideal,4.3,4.33,2.63,59.0,61.0,SI2,I,405
0.3,Excellent,4.43,4.38,2.61,61.0,59.3,SI2,J,405
0.3,Very Good,4.25,4.28,2.67,57.0,62.6,SI1,I,405
0.3,Very Good,4.28,4.32,2.71,57.0,63.0,SI1,I,405
0.3,Good,4.25,4.29,2.7,55.0,63.2,SI1,I,405
0.35,Ideal,4.54,4.59,2.78,57.0,60.9,VS1,I,552
0.3,Excellent,4.23,4.27,2.66,59.0,62.6,SI1,D,552
0.3,Ideal,4.29,4.32,2.69,57.0,62.5,SI1,D,552
0.3,Ideal,4.3,4.33,2.68,56.0,62.1,SI1,D,552
0.42,Excellent,4.78,4.84,2.96,59.0,61.5,SI2,I,552
0.28,Ideal,4.19,4.22,2.58,56.0,61.4,VVS2,G,553
0.32,Ideal,4.39,4.42,2.73,55.3,62.0,VVS1,I,553
0.31,Very Good,4.33,4.3,2.73,57.0,63.3,SI1,G,553
0.31,Excellent,4.35,4.32,2.68,58.0,61.8,SI1,G,553
0.24,Excellent,4.01,4.03,2.44,58.0,60.7,VVS1,E,553
0.24,Very Good,3.97,4.0,2.45,60.0,61.5,VVS1,D,553
0.3,Very Good,4.29,4.27,2.7,56.0,63.1,SI1,H,554
0.3,Excellent,4.28,4.24,2.68,59.0,62.9,SI1,H,554
0.3,Excellent,4.29,4.25,2.67,57.0,62.5,SI1,H,554
0.3,Good,4.28,4.26,2.72,57.0,63.7,SI1,H,554
0.26,Very Good,4.19,4.22,2.49,60.0,59.2,VVS2,F,554
0.26,Very Good,4.15,4.23,2.51,58.0,59.9,VVS2,E,554
0.26,Very Good,4.08,4.13,2.56,54.0,62.4,VVS2,D,554
0.26,Very Good,4.01,4.05,2.53,60.0,62.8,VVS2,D,554
0.26,Very Good,4.06,4.09,2.55,59.0,62.6,VVS1,E,554
0.26,Very Good,4.0,4.04,2.55,59.0,63.4,VVS1,E,554
0.26,Very Good,4.03,4.12,2.53,60.0,62.1,VVS1,D,554
0.26,Ideal,4.02,4.06,2.54,58.0,62.9,VVS2,E,554
0.38,Ideal,4.65,4.67,2.87,56.0,61.6,SI2,I,554
0.26,Good,4.22,4.25,2.45,60.0,57.9,VVS1,E,554
0.24,Excellent,3.95,3.92,2.45,59.0,62.3,VVS1,G,554
0.24,Excellent,4.01,3.96,2.44,58.0,61.2,VVS1,H,554
0.24,Excellent,4.02,4.0,2.44,59.0,60.8,VVS1,H,554
0.24,Excellent,4.07,4.04,2.46,58.0,60.7,VVS2,H,554
0.32,Excellent,4.35,4.33,2.73,58.0,62.9,SI1,I,554
0.7,Ideal,5.7,5.72,3.57,57.0,62.5,SI1,E,2757
0.86,Fair,6.45,6.33,3.52,69.0,55.1,SI2,E,2757
0.7,Ideal,5.7,5.67,3.5,56.0,61.6,VS2,G,2757
0.71,Very Good,5.68,5.73,3.56,57.0,62.4,VS2,E,2759
0.78,Very Good,5.81,5.85,3.72,56.0,63.8,SI2,G,2759
0.7,Good,5.85,5.9,3.38,58.0,57.5,VS2,E,2759
0.7,Good,5.71,5.76,3.4,62.0,59.4,VS1,F,2759
0.96,Fair,6.27,5.95,4.07,62.0,66.3,SI2,F,2759
0.73,Very Good,5.77,5.78,3.56,59.0,61.6,SI1,E,2760
0.8,Excellent,5.97,5.93,3.66,58.0,61.5,SI1,H,2760
0.75,Very Good,5.8,5.75,3.65,56.0,63.2,SI1,D,2760
0.75,Excellent,6.0,5.96,3.58,54.0,59.9,SI1,E,2760
0.74,Ideal,5.8,5.85,3.59,55.0,61.6,SI1,G,2760
0.75,Excellent,5.85,5.79,3.59,58.0,61.7,VS2,G,2760
0.8,Ideal,5.94,5.87,3.72,56.0,62.9,VS1,I,2760
0.75,Ideal,5.87,5.8,3.63,55.0,62.2,SI1,G,2760
0.8,Excellent,5.9,5.81,3.69,59.0,63.0,SI1,G,2760
0.74,Ideal,5.77,5.81,3.61,55.0,62.3,VVS2,I,2761
0.81,Ideal,6.14,6.11,3.6,57.0,58.8,SI2,F,2761
0.59,Ideal,5.38,5.43,3.35,55.0,62.0,VVS2,E,2761
0.8,Ideal,5.96,6.0,3.67,57.0,61.4,SI2,F,2761
0.74,Ideal,5.8,5.84,3.62,56.0,62.2,SI2,E,2761
0.9,Excellent,6.16,6.12,3.87,58.0,63.0,VS2,I,2761
0.74,Very Good,5.73,5.82,3.59,59.0,62.2,SI1,G,2762
0.73,Ideal,5.77,5.74,3.6,56.0,62.6,VS2,F,2762
0.73,Ideal,5.8,5.75,3.62,53.0,62.7,VS2,F,2762
0.8,Excellent,5.98,5.94,3.68,58.0,61.7,SI2,F,2762
0.71,Ideal,5.72,5.76,3.58,54.0,62.4,VS2,G,2762
0.7,Ideal,5.73,5.76,3.49,58.0,60.7,VS2,E,2762
0.8,Ideal,6.01,6.07,3.62,59.0,59.9,SI2,F,2762
0.71,Ideal,5.73,5.69,3.56,56.0,62.3,SI2,D,2762
0.74,Ideal,5.8,5.83,3.62,54.0,62.3,SI1,E,2762
0.7,Very Good,5.64,5.61,3.47,63.0,61.7,VS2,F,2762
0.7,Fair,5.57,5.53,3.58,57.0,64.5,VS2,F,2762
0.7,Fair,5.63,5.58,3.66,55.0,65.3,VS2,F,2762
0.7,Excellent,5.65,5.59,3.46,60.0,61.6,VS2,F,2762
0.91,Excellent,6.09,5.97,3.7,56.0,61.4,SI1,H,2763
0.61,Very Good,5.56,5.58,3.32,57.0,59.6,VVS2,D,2763
0.91,Fair,6.11,6.09,3.93,57.0,64.4,SI2,H,2763
0.91,Fair,6.03,5.99,3.95,60.0,65.7,SI2,H,2763
0.77,Ideal,5.89,5.86,3.64,56.0,62.0,VS2,H,2763
0.71,Very Good,5.64,5.68,3.6,58.0,63.6,SI1,D,2764
0.71,Ideal,5.69,5.72,3.53,59.0,61.9,SI1,D,2764
0.7,Very Good,5.62,5.65,3.53,60.0,62.6,VS2,E,2765
0.77,Very Good,5.88,5.9,3.61,60.0,61.3,VS1,H,2765
0.63,Excellent,5.52,5.55,3.37,60.0,60.9,VVS1,E,2765
0.71,Very Good,5.74,5.77,3.46,62.0,60.1,VS1,F,2765
0.71,Excellent,5.69,5.73,3.53,59.0,61.8,VS1,F,2765
0.76,Ideal,5.88,5.91,3.61,57.0,61.2,SI1,H,2765
0.64,Ideal,5.53,5.56,3.43,56.0,61.9,VVS1,G,2766
0.71,Excellent,5.78,5.75,3.51,57.0,60.9,VS2,G,2766
0.71,Excellent,5.89,5.81,3.5,56.0,59.8,VS2,G,2766
0.7,Very Good,5.68,5.72,3.52,55.0,61.8,VS2,D,2767
0.7,Very Good,5.8,5.87,3.5,57.0,60.0,VS1,F,2767
0.71,Ideal,5.74,5.76,3.54,55.0,61.6,SI2,D,2767
0.7,Good,5.62,5.65,3.5,64.0,62.1,VVS2,H,2767
0.71,Very Good,5.52,5.61,3.52,59.0,63.3,VS1,G,2768
0.73,Very Good,5.83,5.87,3.52,56.0,60.2,SI1,D,2768
0.7,Very Good,5.66,5.73,3.48,58.0,61.1,SI1,D,2768
0.7,Ideal,5.73,5.76,3.5,57.0,60.9,SI1,E,2768
0.71,Excellent,5.71,5.67,3.51,59.0,61.7,SI2,D,2768
0.74,Ideal,5.82,5.86,3.57,56.0,61.3,SI1,I,2769
0.71,Excellent,5.65,5.61,3.52,60.0,62.5,VS2,D,2770
0.73,Excellent,5.83,5.76,3.56,59.0,61.4,VS2,G,2770
0.76,Very Good,5.79,5.81,3.65,57.0,62.9,SI1,F,2770
0.76,Ideal,5.78,5.83,3.62,57.0,62.4,SI2,D,2770
0.71,Ideal,5.77,5.8,3.51,56.0,60.7,SI1,F,2770
0.73,Excellent,5.87,5.82,3.55,58.0,60.7,VS2,G,2770
0.73,Excellent,5.79,5.75,3.55,58.0,61.5,VS1,G,2770
0.73,Ideal,5.92,5.89,3.54,57.0,59.9,SI2,D,2770
0.73,Excellent,5.92,5.87,3.49,59.0,59.2,VS2,G,2770
0.72,Very Good,5.81,5.83,3.51,56.0,60.3,VVS2,H,2771
0.73,Very Good,5.79,5.82,3.58,60.0,61.7,SI1,F,2771
0.71,Ideal,5.73,5.77,3.56,57.0,61.9,VS2,G,2771
0.79,Ideal,5.97,5.92,3.68,55.0,61.9,SI2,F,2771
0.73,Very Good,5.83,5.89,3.54,59.0,60.4,VVS1,H,2772
0.8,Very Good,6.01,6.03,3.67,57.0,61.0,SI2,F,2772
0.58,Ideal,5.39,5.44,3.33,55.0,61.5,VVS1,G,2772
0.58,Ideal,5.33,5.37,3.3,56.0,61.7,VVS1,F,2772
0.71,Good,5.8,5.88,3.46,61.0,59.2,VS2,E,2772
0.75,Ideal,5.85,5.89,3.6,56.0,61.3,SI2,D,2773
0.7,Excellent,5.87,5.78,3.38,62.0,58.0,VS2,D,2773
1.17,Very Good,6.83,6.9,4.13,61.0,60.2,I1,J,2774
0.6,Ideal,5.41,5.44,3.35,55.0,61.7,VS1,E,2774
0.7,Ideal,5.68,5.74,3.58,55.0,62.7,SI1,E,2774
0.83,Good,5.85,5.88,3.79,54.0,64.6,VS2,I,2774
0.74,Very Good,5.8,5.84,3.57,61.0,61.3,VS2,F,2775
0.72,Very Good,5.62,5.69,3.61,56.4,63.7,VS2,G,2776
0.71,Excellent,5.74,5.68,3.58,58.0,62.7,VS2,E,2776
0.71,Ideal,5.79,5.62,3.55,57.0,62.2,VS2,E,2776
0.54,Ideal,5.25,5.27,3.24,56.0,61.6,VVS2,E,2776
0.54,Ideal,5.24,5.26,3.23,57.0,61.5,VVS2,E,2776
0.72,Ideal,5.72,5.75,3.55,56.0,61.8,SI1,G,2776
0.72,Ideal,5.79,5.82,3.53,56.0,60.7,SI1,G,2776
0.72,Good,5.8,5.84,3.47,60.5,59.7,VS2,G,2776
0.71,Ideal,5.8,5.76,3.5,56.0,60.5,SI1,G,2776
0.7,Very Good,5.66,5.73,3.57,58.0,62.7,VS1,D,2777
0.71,Excellent,5.67,5.7,3.53,58.0,62.1,VS2,F,2777
0.71,Very Good,5.64,5.69,3.56,57.0,62.8,VS2,F,2777
0.71,Good,5.61,5.64,3.59,58.0,63.8,VS2,F,2777
0.71,Good,5.87,5.9,3.4,60.0,57.8,VS2,F,2777
0.7,Ideal,5.7,5.67,3.53,55.0,62.1,VS2,E,2777
0.7,Excellent,5.71,5.64,3.47,60.0,61.1,VS2,E,2777
0.7,Excellent,5.79,5.75,3.46,59.0,60.0,SI1,E,2777
0.7,Excellent,5.73,5.68,3.49,57.0,61.2,SI1,E,2777
0.7,Excellent,5.67,5.63,3.54,59.0,62.7,SI1,E,2777
0.7,Excellent,5.73,5.68,3.48,57.0,61.0,SI1,E,2777
0.7,Excellent,5.78,5.72,3.51,58.0,61.0,SI1,E,2777
0.7,Ideal,5.76,5.7,3.52,57.0,61.4,SI1,E,2777
0.72,Excellent,5.82,5.71,3.56,61.0,61.8,SI1,F,2777
0.7,Very Good,5.76,5.7,3.43,63.0,59.9,SI1,E,2777
0.7,Excellent,5.71,5.68,3.49,58.0,61.3,SI1,E,2777
0.7,Excellent,5.77,5.74,3.48,58.0,60.5,SI1,E,2777
0.7,Good,5.64,5.59,3.6,59.0,64.1,VS2,E,2777
0.98,Fair,6.05,5.97,4.08,60.0,67.9,SI2,H,2777
0.78,Excellent,5.83,5.8,3.63,58.0,62.4,SI1,F,2777
0.7,Very Good,5.6,5.51,3.51,60.0,63.2,SI1,E,2777
0.52,Ideal,5.19,5.22,3.19,55.0,61.3,VVS1,F,2778
0.73,Very Good,5.82,5.84,3.55,56.0,60.8,VS2,H,2779
0.74,Ideal,5.84,5.8,3.59,56.0,61.7,SI1,E,2779
0.7,Very Good,5.61,5.65,3.58,57.0,63.6,VS2,F,2780
0.77,Excellent,5.9,5.93,3.62,58.0,61.2,VS2,G,2780
0.71,Ideal,5.68,5.72,3.54,54.0,62.1,VS2,F,2780
0.74,Ideal,5.81,5.86,3.59,55.0,61.5,VS1,G,2780
0.7,Ideal,5.64,5.73,3.49,59.0,61.4,VS1,G,2780
1.01,Excellent,6.39,6.36,3.94,60.0,61.8,I1,F,2781
0.77,Ideal,5.83,5.88,3.64,56.0,62.2,SI1,H,2781
0.78,Ideal,5.92,5.99,3.64,56.0,61.2,SI1,H,2781
0.72,Very Good,5.83,5.76,3.51,63.0,60.6,VS1,H,2782
0.53,Very Good,5.34,5.37,3.08,64.0,57.5,VVS2,D,2782
0.76,Ideal,5.9,5.94,3.63,56.0,61.3,VS2,G,2782
0.7,Good,5.81,5.77,3.31,62.0,57.2,VS1,E,2782
0.7,Excellent,5.62,5.54,3.51,60.0,62.9,VS1,E,2782
0.75,Very Good,5.78,5.73,3.63,58.0,63.1,SI2,D,2782
0.72,Ideal,5.76,5.75,3.5,57.0,60.8,SI1,D,2782
0.72,Excellent,5.73,5.69,3.58,59.0,62.7,SI1,D,2782
0.7,Excellent,5.68,5.66,3.56,60.0,62.8,SI1,D,2782
0.84,Fair,6.39,6.2,3.47,67.0,55.1,SI1,G,2782
0.75,Excellent,5.88,5.85,3.6,59.0,61.4,SI1,F,2782
0.52,Ideal,5.14,5.18,3.21,55.0,62.2,IF,F,2783
0.72,Very Good,5.69,5.73,3.6,54.0,63.0,VS2,F,2784
0.79,Very Good,5.85,5.92,3.75,56.0,63.7,VS1,H,2784
0.72,Very Good,5.66,5.69,3.61,58.0,63.6,VS2,F,2787
0.51,Ideal,5.11,5.15,3.18,57.0,62.0,VVS1,F,2787
0.64,Ideal,5.54,5.55,3.41,56.0,61.5,VS1,D,2787
0.7,Very Good,5.74,5.77,3.48,60.0,60.5,VVS1,H,2788
0.83,Very Good,6.07,6.1,3.72,60.0,61.1,VS1,I,2788
0.76,Ideal,5.85,5.87,3.62,56.0,61.8,VVS2,I,2788
0.71,Good,5.64,5.68,3.58,56.0,63.3,VS2,D,2788
0.77,Good,5.97,5.92,3.53,64.0,59.4,VS1,G,2788
0.71,Ideal,5.71,5.65,3.55,55.0,62.5,SI1,F,2788
1.01,Fair,6.29,6.21,4.03,58.0,64.5,I1,E,2788
1.01,Excellent,6.31,6.22,3.93,59.0,62.7,SI2,H,2788
0.77,Good,5.81,5.77,3.72,52.0,64.2,SI1,F,2789
0.76,Good,5.76,5.85,3.7,54.0,63.7,SI1,E,2789
0.76,Excellent,5.92,5.94,3.58,58.0,60.4,SI1,E,2789
0.76,Excellent,5.82,5.86,3.61,58.0,61.8,SI1,E,2789
1.05,Very Good,6.49,6.45,4.09,56.0,63.2,SI2,J,2789
0.81,Ideal,5.97,6.01,3.69,56.0,61.6,SI2,G,2789
0.7,Ideal,5.72,5.75,3.53,56.0,61.6,SI1,E,2789
0.55,Ideal,5.28,5.3,3.22,57.0,60.9,IF,G,2789
0.81,Good,5.94,5.99,3.64,61.0,61.0,SI2,G,2789
0.63,Excellent,5.48,5.41,3.38,57.0,62.1,VVS2,E,2789
0.63,Excellent,5.55,5.52,3.37,60.0,60.9,VVS1,E,2789
0.77,Excellent,5.9,5.88,3.61,60.0,61.3,VS1,H,2789
1.05,Fair,6.41,6.27,4.18,59.0,65.8,SI2,J,2789
0.64,Ideal,5.54,5.58,3.41,56.0,61.3,IF,G,2790
0.76,Excellent,6.0,5.94,3.51,59.0,58.8,VVS1,I,2790
0.83,Ideal,6.02,6.05,3.76,55.0,62.3,SI2,F,2790
0.71,Excellent,5.77,5.74,3.46,62.0,60.1,VS1,F,2790
0.71,Excellent,5.73,5.69,3.53,59.0,61.8,VS1,F,2790
0.87,Very Good,6.07,6.1,3.87,55.8,63.6,SI1,I,2791
0.73,Ideal,5.74,5.78,3.58,56.0,62.2,SI1,E,2791
0.71,Excellent,5.83,5.86,3.46,59.0,59.2,SI1,E,2792
0.71,Excellent,5.7,5.75,3.54,59.0,61.8,SI1,E,2792
0.71,Ideal,5.72,5.77,3.52,55.0,61.3,SI1,E,2792
0.7,Excellent,5.71,5.65,3.53,60.0,62.1,VS1,F,2792
0.7,Excellent,5.78,5.75,3.5,60.0,60.7,VS1,F,2792
0.76,Excellent,5.91,5.86,3.51,57.0,59.6,VVS2,H,2792
0.7,Ideal,5.73,5.68,3.55,56.0,62.2,VS1,F,2792
0.79,Very Good,5.98,6.06,3.65,57.0,60.6,SI1,G,2793
0.7,Very Good,5.66,5.69,3.57,57.0,62.9,VS2,E,2793
0.7,Good,5.6,5.66,3.61,55.0,64.1,VS2,E,2793
0.76,Ideal,5.87,5.91,3.61,56.0,61.3,VS2,I,2793
0.73,Ideal,5.72,5.76,3.6,55.0,62.7,VS2,H,2793
0.79,Very Good,5.91,5.86,3.72,56.0,63.2,SI1,E,2794
0.71,Very Good,5.81,5.82,3.53,56.0,60.7,VS2,E,2795
0.81,Excellent,5.91,5.86,3.64,60.0,61.9,VVS2,I,2795
0.81,Ideal,5.92,5.96,3.72,55.0,62.6,SI2,F,2795
0.72,Good,5.74,5.72,3.48,60.0,60.7,VS1,F,2795
0.72,Excellent,5.73,5.69,3.54,60.0,62.0,SI2,D,2795
0.72,Excellent,5.72,5.7,3.6,57.0,63.0,IF,I,2795
0.81,Excellent,6.17,6.13,3.57,59.0,58.0,VS2,H,2795
0.72,Excellent,5.73,5.65,3.58,57.0,62.9,VS2,G,2795
1.0,Excellent,6.61,6.55,3.83,60.0,58.2,SI2,I,2795
0.73,Good,5.7,5.76,3.62,58.0,63.2,SI1,E,2796
0.81,Very Good,5.94,6.01,3.66,59.0,61.3,SI2,H,2797
0.81,Very Good,6.07,6.1,3.67,60.0,60.3,SI1,E,2797
0.71,Excellent,5.67,5.71,3.57,60.0,62.7,SI1,D,2797
0.71,Excellent,5.73,5.75,3.52,58.0,61.3,SI1,D,2797
0.71,Excellent,5.74,5.69,3.52,60.0,61.6,SI1,D,2797
0.57,Ideal,5.34,5.35,3.31,55.0,61.9,VVS2,F,2797
0.51,Ideal,5.12,5.16,3.17,56.0,61.7,VVS1,D,2797
0.72,Ideal,5.72,5.75,3.55,58.0,61.9,VS2,G,2797
0.74,Ideal,5.77,5.81,3.58,58.0,61.8,VS1,H,2797
0.74,Ideal,5.81,5.82,3.58,56.0,61.6,VS1,H,2797
0.7,Fair,5.81,5.9,3.44,66.0,58.8,VVS1,G,2797
0.8,Excellent,6.03,6.01,3.67,57.0,61.0,SI2,F,2797
1.01,Fair,6.19,6.05,4.13,60.0,67.4,SI2,E,2797
0.8,Very Good,5.92,5.82,3.72,60.0,63.4,VS2,H,2797
0.77,Ideal,5.87,5.91,3.62,59.0,61.5,VS1,I,2798
0.83,Very Good,6.19,6.25,3.61,62.0,58.0,SI2,E,2799
0.82,Ideal,5.97,6.02,3.74,54.0,62.4,SI2,F,2799
0.78,Ideal,5.91,5.86,3.64,57.0,61.9,SI1,D,2799
0.6,Very Good,5.43,5.46,3.35,56.0,61.6,IF,G,2800
0.9,Good,6.07,6.11,3.79,59.0,62.2,SI2,I,2800
0.7,Excellent,5.6,5.66,3.5,58.0,62.2,VS1,E,2800
0.9,Very Good,6.17,6.23,3.8,56.0,61.3,SI2,I,2800
0.83,Ideal,5.99,6.08,3.76,57.0,62.3,SI1,G,2800
0.83,Ideal,6.03,6.07,3.74,57.0,61.8,SI1,G,2800
0.83,Very Good,5.95,6.02,3.74,59.0,62.5,SI1,H,2800
0.74,Excellent,5.74,5.68,3.59,60.0,62.9,VS1,G,2800
0.79,Ideal,5.92,5.95,3.67,59.0,61.8,VS1,I,2800
0.61,Ideal,5.43,5.45,3.39,56.0,62.3,IF,G,2800
0.76,Fair,5.89,5.8,3.46,70.0,59.0,VS1,G,2800
0.96,Ideal,6.37,6.41,3.88,55.0,60.7,I1,F,2801
0.73,Ideal,5.8,5.76,3.61,55.0,62.5,VS2,F,2801
0.73,Excellent,5.76,5.7,3.59,58.0,62.7,VS2,F,2801
0.75,Ideal,5.93,5.96,3.59,57.0,60.4,SI1,H,2801
0.71,Excellent,5.7,5.67,3.53,58.0,62.1,VS2,F,2801
0.71,Good,5.9,5.87,3.4,60.0,57.8,VS2,F,2801
0.71,Good,5.64,5.61,3.59,58.0,63.8,VS2,F,2801
0.71,Excellent,5.69,5.64,3.56,57.0,62.8,VS2,F,2801
1.04,Excellent,6.46,6.41,4.0,58.0,62.2,I1,G,2801
1.0,Excellent,6.45,6.34,3.98,58.0,62.3,SI2,J,2801
0.87,Very Good,6.19,6.23,3.72,58.0,59.9,SI2,G,2802
0.53,Ideal,5.22,5.25,3.24,54.0,61.9,IF,F,2802
0.72,Excellent,5.79,5.61,3.59,55.0,63.0,VS2,E,2802
0.72,Excellent,5.83,5.7,3.6,58.0,62.4,VS1,F,2802
0.7,Very Good,5.63,5.65,3.55,58.0,62.9,VS2,F,2803
0.74,Very Good,5.74,5.79,3.66,56.0,63.5,SI1,E,2803
0.71,Ideal,5.75,5.71,3.51,56.0,61.3,VS2,G,2803
0.73,Ideal,5.84,5.89,3.55,54.0,60.6,SI1,E,2803
0.7,Good,5.56,5.59,3.63,58.0,65.1,VS1,G,2803
0.71,Excellent,5.7,5.67,3.56,58.0,62.6,VS2,F,2803
0.71,Excellent,5.85,5.81,3.38,62.0,58.0,VS2,F,2803
0.71,Excellent,5.7,5.65,3.54,61.0,62.4,VS1,G,2803
0.77,Excellent,5.93,5.88,3.62,57.0,61.3,VS2,G,2803
0.71,Excellent,5.81,5.77,3.47,60.0,59.9,VS2,G,2803
0.78,Excellent,6.03,5.95,3.64,58.0,60.8,VS2,G,2803
0.71,Very Good,5.66,5.64,3.59,55.0,63.5,VS1,G,2803
0.91,Ideal,6.21,6.15,3.85,57.0,62.2,SI2,D,2803
0.71,Very Good,5.62,5.66,3.6,58.0,63.8,VS2,E,2804
0.71,Very Good,5.66,5.68,3.63,57.0,64.0,VS2,E,2804
0.8,Very Good,5.88,5.96,3.7,56.0,62.5,SI2,E,2804
0.7,Very Good,5.69,5.73,3.56,58.0,62.3,SI1,D,2804
0.72,Ideal,5.74,5.77,3.55,57.0,61.7,VS1,F,2804
0.72,Very Good,5.75,5.7,3.56,58.0,62.2,VS1,F,2804
0.82,Ideal,6.01,6.08,3.72,56.0,61.5,VS2,H,2804
0.7,Ideal,5.68,5.7,3.47,59.0,61.0,SI1,D,2804
0.72,Ideal,5.74,5.77,3.58,56.0,62.2,SI1,D,2804
0.72,Ideal,5.77,5.8,3.56,54.0,61.5,SI1,D,2804
0.9,Fair,5.93,5.84,3.96,59.0,67.3,SI1,I,2804
0.74,Excellent,5.85,5.78,3.59,58.0,61.7,VS2,F,2805
0.74,Excellent,5.8,5.77,3.58,56.0,61.9,VS2,F,2805
0.73,Ideal,5.77,5.81,3.58,58.0,61.8,SI2,E,2805
0.57,Fair,5.34,5.43,3.16,66.0,58.7,VVS1,E,2805
0.73,Excellent,5.75,5.7,3.58,57.0,62.5,VS2,F,2805
0.72,Ideal,5.74,5.7,3.59,56.0,62.8,VS2,G,2805
0.74,Fair,5.82,5.75,3.53,68.0,61.1,VS2,F,2805
0.82,Good,5.92,5.89,3.78,57.0,64.0,VS2,G,2805
0.81,Very Good,5.89,5.94,3.69,60.0,62.5,SI1,G,2806
0.75,Very Good,5.85,5.9,3.56,58.0,60.6,VVS1,H,2806
0.7,Ideal,5.72,5.74,3.53,55.0,61.6,SI1,F,2806
0.71,Very Good,5.66,5.72,3.54,58.0,62.2,VS1,F,2807
0.71,Very Good,5.84,5.9,3.52,57.0,60.0,VS1,F,2807
0.93,Excellent,6.21,6.19,3.84,57.0,61.9,SI2,J,2807
0.8,Very Good,5.87,5.91,3.7,57.0,62.8,VS2,H,2808
0.7,Very Good,5.64,5.71,3.52,57.0,62.0,VS1,F,2808
